coralName,SFXTarget,SFXPublicName,OURTitle,OURLink
"Brill Journals",BRILLONLINE_OPEN_ACCESS_JOURNALS,"Brillonline Open Access Journals","Brill Journals","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Brill_Journals"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"British Online Archives",,,,
"C. H. Beck",,,,
"CABI - Animal Health Reseasrch Reviews",,,,
"Cambridge Books Online (purchase - Access Agreement) - COPPUL",CAMBRIDGE_COMPANIONS_COMPLETE_COLLECTION,"Cambridge Companions Complete Collection","Cambridge Books [COPPUL]","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Cambridge_Books_Online_COPPUL"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Cambridge Books Online (Purchase and sale agreement) - UofA",CAMBRIDGE_COMPANIONS_LITERATURE_CLASSICS,"Cambridge Companions to Literature & Classics","Cambridge Books Online","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Cambridge_Books_Online"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Cambridge Books Online (Purchase and sale agreement) - UofA",CAMBRIDGE_COMPANIONS_MUSIC,"Cambridge Companions to Music","Cambridge Books Online","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Cambridge_Books_Online"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Cambridge Books Online (Purchase and sale agreement) - UofA",CAMBRIDGE_COMPANIONS_PHILOSOPHY_RELIGION_CULTURE,"Cambridge Companions to Philosophy, Religion and Culture","Cambridge Books Online","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Cambridge_Books_Online"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Cambridge Books Online (Purchase and sale agreement) - UofA",CAMBRIDGE_UNIVERSITY_PRESS_MRS_PROCEEDINGS,"Cambridge University Press Materials Research Society Proceedings","Cambridge Books Online","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Cambridge_Books_Online"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Cambridge Histories Online (COPPUL)",CAMBRIDGE_HISTORIES_ONLINE,"Cambridge Histories Online","Cambridge Histories Online","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Cambridge_Histories_Online"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Cambridge University Press Journal Archives",,,,
"Canadian Electronic Library (ebrary) (COPPUL)",,,,
"Canadian General Standards Board (CGSB) - Textile Test Methods",,,,
CARDOnline,,,,
"Carl Hanser Verlag",HANSER_JOURNALS,"Hanser Journals",,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Hanser"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Casino City Press",,,,
"Carswell - TaxNet Pro",,,,
"Center for Research Libraries - Datenbank-Paket DUDEN",,,,
"Center for Research Libraries - KLAPP Online",,,,
"Center for Research Libraries - Library Information Portal",,,,
"Central & Eastern European Online Library (CEEOL)",CENTRAL_EASTERN_EUROPEAN_ONLINE_LIBRARY,"Central and Eastern European Online Library - CEEOL","Central and Eastern European Online Library - CEEOL","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=CEEOL"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"CFMRC - Toronto Stock Exchange (COPPUL) -",,,,
CIFNAL,,,,
CleanTech,,,,
"CLOCKSS Free",CLOCKSS_FREE,CLOCKSS,CLOCKSS,"<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=CLOCKSS"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Corporate Knights",,,,
"Criterion On Demand",,,,
Curio.ca,,,,
Datastream,,,,
"De Gruyter",,,,
"Deal Pipelilne",,,,
"Duke University Press - Ebooks (COPPUL)",E_DUKE_PRE_2008_BOOKS,"eDuke Pre-2008 Books","Duke University Press Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Duke_University_Press_ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Duke University Press - Ebooks (COPPUL)",EBRARY_E_DUKE_BOOKS_SCHOLARLY_COLLECTION_2008,"ebrary e-Duke Books Scholarly Collection 2008","Duke University Press Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Duke_University_Press_ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Duke University Press - Ebooks (COPPUL)",EBRARY_E_DUKE_BOOKS_SCHOLARLY_COLLECTION_2009,"ebrary e-Duke Books Scholarly Collection 2009","Duke University Press Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Duke_University_Press_ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Duke University Press - Ebooks (COPPUL)",EBRARY_E_DUKE_BOOKS_SCHOLARLY_COLLECTION_2010,"ebrary e-Duke Books Scholarly Collection 2010","Duke University Press Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Duke_University_Press_ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Duke University Press - Ebooks (COPPUL)",EBRARY_E_DUKE_BOOKS_SCHOLARLY_COLLECTION_2011,"ebrary e-Duke Books Scholarly Collection 2011","Duke University Press Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Duke_University_Press_ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Duke University Press - Ebooks (COPPUL)",E_DUKE_2012_BOOKS,"eDuke 2012 Books","Duke University Press Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Duke_University_Press_ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
"Duke University Press - Ebooks (COPPUL)",E_DUKE_2013_BOOKS,"eDuke 2013 Books","Duke University Press Ebooks","<iframe src=""http://tal.scholarsportal.info/alberta/sfx/?tag=Duke_University_Press_ebooks"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>"
